tagSrc_slow,Binder_slow,tagSrc_fast,Binder_fast
30600,26500,51600,42000
30000,26100,55000,42500
29050,26750,53350,42700
31400,24900,53350,43100
31300,28100,53600,41200
29900,25700,53500,44300
30050,26100,54300,43150
31300,25200,55100,42550
29400,27250,52300,42000
30500,26500,55400,42150
31000,24650,54250,43250
29000,26300,54900,42150
30200,23500,53900,41200
30000,24000,56100,40800
30950,26000,55300,41850
29400,25900,52350,41300
29100,26050,52000,40900
29900,27050,55500,39400
30100,25950,55000,46200
31500,26800,54000,41450
28900,27400,54600,44450
29600,26850,52900,41950
29600,25950,54650,43950
29300,25300,55600,40900
30700,25850,52400,42700
31000,27700,55300,41600
31200,25000,55000,43900
29000,25300,55600,44800
31300,25000,51900,40900
30200,24950,55900,44550
30250,25000,54300,42400
29800,26400,56100,41500
29200,24700,54000,40500
30700,26300,56600,42950
29300,26100,55100,44150
29400,24200,53900,41550
29700,25000,53100,42900
30000,25400,56000,44350
30200,26200,55900,43100
30200,25850,57650,42600
29300,25000,55250,41650
30600,26800,54500,39800
31500,25850,54400,41850
28950,26250,56100,40900
30600,26800,53050,44000
30000,26200,54500,40700
29400,26200,54750,42900
31400,24900,53400,41950
29800,26200,54900,42600
30400,26450,54500,42450
29300,26200,55100,41000
29350,26500,54600,42250
29400,26100,54400,42600
30900,26700,56150,42200
29300,25150,55000,40950
29200,26400,54600,40150
29650,26050,55000,42850
30500,25200,55400,41800
29000,26500,55400,40700
30000,26100,54700,40950
29850,26500,53500,41900
29500,25200,54850,43800
29500,26100,54050,42600
30500,25900,53450,39400
29900,26300,53050,41300
29000,26300,55900,41550
30200,26500,53900,39100
30500,25100,55000,42150
30500,25100,55100,42300
28400,25900,54750,42850
29600,26500,55050,43300
29000,26100,55700,40800
30700,26700,51850,43200
30700,26800,52600,40800
29600,24300,55000,44150
29800,26200,52800,40500
30700,26200,54450,41100
30200,25300,54800,41600
30150,25900,54950,40900
31000,26100,56000,43300
30900,25400,53400,43400
29600,25700,54900,42400
30200,26500,56100,44000
30500,26850,55000,43900
29500,26900,54350,42350
29600,26100,53350,41800
29300,24000,53900,43700
30800,26100,54950,43100
28850,26500,52650,40500
