,TagSrc (Avg),,Binder (Avg),
Time (ms),BarHeight,Error,BarHeight,Error
240,19.04437,1.778677,19.27845,1.714619
300,19.38974,1.073231,20.14755,1.1261
360,13.27381,0.605409,13.85284,0.833372
420,9.442384,0.477711,10.02688,0.602801
480,7.139081,0.45992,7.505737,0.421677
540,5.689547,0.391696,5.735863,0.443541
600,4.576826,0.439738,4.54718,0.420115
660,3.721042,0.356263,3.476733,0.394167
720,2.946631,0.345522,2.853441,0.385137
780,2.460629,0.297666,2.292914,0.350924
840,2.051015,0.291036,1.863015,0.302548
900,1.805951,0.273931,1.615623,0.242727
960,1.531603,0.264981,1.322481,0.228655
1020,1.317573,0.226763,1.095736,0.233738
1080,1.128084,0.232715,0.908826,0.223057
1140,0.965379,0.240051,0.795581,0.212416
1200,0.88451,0.229932,0.685837,0.177802
1260,0.744657,0.170213,0.558097,0.162537
1320,0.674797,0.193623,0.49717,0.155351
1380,0.576815,0.173305,0.431846,0.139704
1440,0.635556,0.186642,0.508197,0.175537
