Bin Center (ms),Transient,0 pg,10 pg,100 pg,250 pg
200,0,0,0,0,0
260,1.520912548,16.49774775,16.21129326,14.94309748,10.57441253
320,6.463878327,14.35810811,13.96478446,12.8154379,11.61879896
380,10.2661597,11.03603604,12.68973892,11.72686789,10.05221932
440,10.07604563,10.52927928,10.2003643,9.549727857,10.05221932
500,9.125475285,7.77027027,6.982392228,9.00544285,6.919060052
560,8.935361217,5.79954955,6.193078324,5.987135082,8.355091384
620,7.414448669,4.786036036,5.282331512,5.343889164,7.310704961
680,5.893536122,4.504504505,4.614450516,4.502721425,5.874673629
740,5.703422053,3.941441441,3.278688525,3.3151905,3.263707572
800,4.562737643,3.096846847,3.096539162,2.820385948,4.438642298
860,2.47148289,2.477477477,3.096539162,2.474022761,3.002610966
920,3.802281369,1.801801802,2.064359441,2.721425037,2.610966057
980,4.942965779,1.351351351,1.942926533,2.17714003,1.305483029
1040,2.851711027,1.632882883,1.275045537,1.830776843,2.219321149
1100,1.140684411,0.900900901,1.214329083,1.237011381,1.305483029
1160,1.901140684,0.957207207,1.092896175,0.989609104,1.305483029
1220,0.760456274,1.295045045,1.153612629,1.13805047,1.044386423
1280,1.520912548,0.788288288,0.667880996,1.13805047,1.436031332
1340,1.330798479,0.675675676,0.485731633,0.643245918,0.652741514
1400,1.520912548,0.619369369,0.72859745,0.841167739,0.391644909
